Date,DayOfWeek,Time,Expected Earnings,ActualEarnings,Time predicted,Hourly,Distance,ActualTime,Accepted,Boost,ActualBoost,BaseFare,Promotion,Tip,NumberOfDeliveries,Addon,AddedOn,Cancled
10/17/2022,Monday,18:34,4.68,NA,21,13.37142857,3.9,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,18:35,7.02,NA,24,17.55,5.2,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,18:36,9.53,NA,36,15.88333333,8.4,NA,0,1.4,NA,NA,NA,NA,2,0,0,0
10/17/2022,Monday,18:37,6.21,6.21,17,21.91764706,3.6,14,1,1.4,0.133333333,1.95,0.26,4,1,0,0,0
10/17/2022,Monday,18:41,2.44,NA,15,9.76,2.6,NA,0,1.4,NA,NA,NA,NA,1,1,0,0
10/17/2022,Monday,18:54,13.72,NA,34,24.21176471,15.2,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,18:54,2,NA,14,8.571428571,2.4,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,18:54,8.74,NA,50,10.488,13.7,NA,0,1.4,NA,NA,NA,NA,2,0,0,0
10/17/2022,Monday,18:55,5.52,NA,28,11.82857143,7.6,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,18:55,6.95,6.95,16,26.0625,3.3,17,1,1.4,0.191860465,1.72,0.33,4.9,1,0,0,0
10/17/2022,Monday,19:16,3.54,NA,19,11.17894737,4.7,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,19:17,14.34,NA,43,20.00930233,12.5,NA,0,1.4,NA,NA,NA,NA,2,0,0,0
10/17/2022,Monday,19:17,3.42,NA,16,12.825,3,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,19:19,10.3,NA,30,20.6,8.5,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,19:20,3.09,NA,22,8.427272727,5.2,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,19:21,3,NA,14,12.85714286,2.1,NA,0,1.4,NA,NA,NA,NA,1,0,0,0
10/17/2022,Monday,19:21,13.78,NA,52,15.9,16.5,NA,0,1.4,NA,NA,NA,NA,2,0,0,0
10/17/2022,Monday,19:22,13.86,15.84,30,27.72,8.3,32,1,1.4,0.295302013,2.98,0.88,11.98,2,0,0,0
10/18/2022,Tuesday,18:07,10.97,13.97,23,28.6173913,3.1,21,1,1.2,0.029953917,3.92,0.07,11,1,0,0,0
10/18/2022,Tuesday,18:09,6.45,6.45,9,43,0.3,4,1,1.2,0.029953917,0.42,0.06,4.95,1,1,1,0
