,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,Told,her,she,can't,be,seen,with,me.,Better,#UberEats,that,Denny's.,,,,,,,,,,,,,,,
1,#ubereats,needs,to,revamp,their,app.,Telling,me,someone,is,two-minutes,away,when,they're,outside.,Doesn't,update,an…,https://t.co/medzPyYZ4K,,,,,,,,
2,I,am,officially,done,working,Friday,Nights!!!,Saturday,night,is,where,it’s,at!,💸💸,Thank,you,generous,customers!!…,https://t.co/waAzdKsfBj,,,,,,,,
3,🍦🍨🎂😋Make,your,Saturday,night,sweeter,with,Menchie’s,delivery!🚗🏠,The,whole,family,will,smile😁,,when,you,order,a,surp…,https://t.co/OorL6TEiS4,,,,,,,
4,#UberEats,please,send,me,last,3,bills,of,my,orders,with,order,nbr.,I,am,not,able,to,see,order,nbr,in,the,downloaded…,https://t.co/yEdBnc1Em9,,
5,Dear,#doordash,#ubereats,&amp;,#grubhub,customers:,please,help,us,drivers,from,slipping,on,ice,and,smashing,our,heads,i…,https://t.co/ya0mi7sIFd,,,,,,,
6,Make,your,Saturday,night,sweeter,with,Menchie’s,delivery!,The,whole,family,will,smile,when,you,order,a,surprise,del…,https://t.co/2GKjINTksY,,,,,,,
7,4,hours,later,and,no,help,from,#UberEats,be,careful,ordering,online,as,there,is,no,#CustomerService,from…,https://t.co/lHswwSMVI4,,,,,,,,
8,@DCoolican,@ScottAdamsSays,How,about,#UberEats,,and,door,dash,??¿‽,,,,,,,,,,,,,,,,,
9,Can,anyone,speak,to,me?!,The,email,you,billed,had,the,wrong,card,and,address.,No,one,has,spoken,to,me,to,explain,an…,https://t.co/n9ANGIop7Z,,
10,Add,a,side,of,mashed,potatoes,to,your,order,today!,,#mashedpotatoes,#sides,#sideiteams,#potatoes,#chicken…,https://t.co/RSBOX2536D,,,,,,,,,,
11,Get,$20,off,your,Uber,Eats,order,of,$25,or,more.,Use,my,code,at,checkout:,eats-beverlyi289ui,#ubereats,#uber…,https://t.co/y0fL0sEM43,,,,,,,
12,Get,$20,off,your,first,Uber,Eats,order,of,$25,or,more.,With,my,code.,Use,a,new,email,if,you,need,too.,Free,food!,Te…,https://t.co/k46PFLOA4U
